"filename", "language", "JSON with Comments", "JavaScript", "Markdown", "JSON", "XML", "TypeScript React", "CSS", "TypeScript", "comment", "blank", "total"
"c:\Users\Иван Забурдаев\Desktop\bolvanka\eco-battery\.eslintrc.json", "JSON with Comments", 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Иван Забурдаев\Desktop\bolvanka\eco-battery\README.md", "Markdown", 0, 0, 20, 0, 0, 0, 0, 0, 0, 15, 35
"c:\Users\Иван Забурдаев\Desktop\bolvanka\eco-battery\components\ActiveTask.tsx", "TypeScript React", 0, 0, 0, 0, 0, 40, 0, 0, 1, 9, 50
"c:\Users\Иван Забурдаев\Desktop\bolvanka\eco-battery\components\ItemCard.tsx", "TypeScript React", 0, 0, 0, 0, 0, 49, 0, 0, 0, 6, 55
"c:\Users\Иван Забурдаев\Desktop\bolvanka\eco-battery\components\Layout.tsx", "TypeScript React", 0, 0, 0, 0, 0, 28, 0, 0, 1, 8, 37
"c:\Users\Иван Забурдаев\Desktop\bolvanka\eco-battery\components\TabBar.tsx", "TypeScript React", 0, 0, 0, 0, 0, 42, 0, 0, 12, 6, 60
"c:\Users\Иван Забурдаев\Desktop\bolvanka\eco-battery\components\TabSwitcher.tsx", "TypeScript React", 0, 0, 0, 0, 0, 49, 0, 0, 0, 7, 56
"c:\Users\Иван Забурдаев\Desktop\bolvanka\eco-battery\components\TopMenu.tsx", "TypeScript React", 0, 0, 0, 0, 0, 93, 0, 0, 1, 11, 105
"c:\Users\Иван Забурдаев\Desktop\bolvanka\eco-battery\components\Work.tsx", "TypeScript React", 0, 0, 0, 0, 0, 66, 0, 0, 36, 5, 107
"c:\Users\Иван Забурдаев\Desktop\bolvanka\eco-battery\components\WorkCard.tsx", "TypeScript React", 0, 0, 0, 0, 0, 98, 0, 0, 18, 10, 126
"c:\Users\Иван Забурдаев\Desktop\bolvanka\eco-battery\next.config.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 1, 2, 17
"c:\Users\Иван Забурдаев\Desktop\bolvanka\eco-battery\package-lock.json", "JSON", 0, 0, 0, 6028, 0, 0, 0, 0, 0, 1, 6029
"c:\Users\Иван Забурдаев\Desktop\bolvanka\eco-battery\package.json", "JSON", 0, 0, 0, 27, 0, 0, 0, 0, 0, 1, 28
"c:\Users\Иван Забурдаев\Desktop\bolvanka\eco-battery\pages\_app.tsx", "TypeScript React", 0, 0, 0, 0, 0, 5, 0, 0, 0, 2, 7
"c:\Users\Иван Забурдаев\Desktop\bolvanka\eco-battery\pages\account.tsx", "TypeScript React", 0, 0, 0, 0, 0, 18, 0, 0, 0, 2, 20
"c:\Users\Иван Забурдаев\Desktop\bolvanka\eco-battery\pages\achivments.tsx", "TypeScript React", 0, 0, 0, 0, 0, 54, 0, 0, 0, 5, 59
"c:\Users\Иван Забурдаев\Desktop\bolvanka\eco-battery\pages\api\hello.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 10, 1, 3, 14
"c:\Users\Иван Забурдаев\Desktop\bolvanka\eco-battery\pages\home.tsx", "TypeScript React", 0, 0, 0, 0, 0, 65, 0, 0, 0, 5, 70
"c:\Users\Иван Забурдаев\Desktop\bolvanka\eco-battery\pages\marketplace.tsx", "TypeScript React", 0, 0, 0, 0, 0, 33, 0, 0, 0, 3, 36
"c:\Users\Иван Забурдаев\Desktop\bolvanka\eco-battery\pages\rating.tsx", "TypeScript React", 0, 0, 0, 0, 0, 52, 0, 0, 0, 5, 57
"c:\Users\Иван Забурдаев\Desktop\bolvanka\eco-battery\pages\share.tsx", "TypeScript React", 0, 0, 0, 0, 0, 29, 0, 0, 0, 5, 34
"c:\Users\Иван Забурдаев\Desktop\bolvanka\eco-battery\pages\shop.tsx", "TypeScript React", 0, 0, 0, 0, 0, 41, 0, 0, 0, 3, 44
"c:\Users\Иван Забурдаев\Desktop\bolvanka\eco-battery\pages\stake.tsx", "TypeScript React", 0, 0, 0, 0, 0, 31, 0, 0, 0, 3, 34
"c:\Users\Иван Забурдаев\Desktop\bolvanka\eco-battery\pages\work.tsx", "TypeScript React", 0, 0, 0, 0, 0, 14, 0, 0, 0, 2, 16
"c:\Users\Иван Забурдаев\Desktop\bolvanka\eco-battery\pages\workpop.tsx", "TypeScript React", 0, 0, 0, 0, 0, 110, 0, 0, 1, 8, 119
"c:\Users\Иван Забурдаев\Desktop\bolvanka\eco-battery\postcss.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Иван Забурдаев\Desktop\bolvanka\eco-battery\public\images\achivments\battery.svg", "XML", 0, 0, 0, 0, 21, 0, 0, 0, 0, 1, 22
"c:\Users\Иван Забурдаев\Desktop\bolvanka\eco-battery\public\images\achivments\bnb.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\Иван Забурдаев\Desktop\bolvanka\eco-battery\public\images\achivments\eth.svg", "XML", 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, 9
"c:\Users\Иван Забурдаев\Desktop\bolvanka\eco-battery\public\images\achivments\ton.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\Иван Забурдаев\Desktop\bolvanka\eco-battery\public\images\arrow_back.svg", "XML", 0, 0, 0, 0, 14, 0, 0, 0, 0, 1, 15
"c:\Users\Иван Забурдаев\Desktop\bolvanka\eco-battery\public\images\burger_icon.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"c:\Users\Иван Забурдаев\Desktop\bolvanka\eco-battery\public\images\card_generation\head.svg", "XML", 0, 0, 0, 0, 14, 0, 0, 0, 0, 1, 15
"c:\Users\Иван Забурдаев\Desktop\bolvanka\eco-battery\public\images\card_generation\item_bg.svg", "XML", 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"c:\Users\Иван Забурдаев\Desktop\bolvanka\eco-battery\public\images\card_overlay.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\Иван Забурдаев\Desktop\bolvanka\eco-battery\public\images\carrot_icon.svg", "XML", 0, 0, 0, 0, 14, 0, 0, 0, 0, 1, 15
"c:\Users\Иван Забурдаев\Desktop\bolvanka\eco-battery\public\images\carrot_icon_white.svg", "XML", 0, 0, 0, 0, 14, 0, 0, 0, 0, 1, 15
"c:\Users\Иван Забурдаев\Desktop\bolvanka\eco-battery\public\images\home\achviements.svg", "XML", 0, 0, 0, 0, 14, 0, 0, 0, 0, 1, 15
"c:\Users\Иван Забурдаев\Desktop\bolvanka\eco-battery\public\images\home\giftbox1.svg", "XML", 0, 0, 0, 0, 24, 0, 0, 0, 0, 1, 25
"c:\Users\Иван Забурдаев\Desktop\bolvanka\eco-battery\public\images\home\giftbox2.svg", "XML", 0, 0, 0, 0, 24, 0, 0, 0, 0, 1, 25
"c:\Users\Иван Забурдаев\Desktop\bolvanka\eco-battery\public\images\home\giftbox3.svg", "XML", 0, 0, 0, 0, 24, 0, 0, 0, 0, 1, 25
"c:\Users\Иван Забурдаев\Desktop\bolvanka\eco-battery\public\images\home\rating.svg", "XML", 0, 0, 0, 0, 14, 0, 0, 0, 0, 1, 15
"c:\Users\Иван Забурдаев\Desktop\bolvanka\eco-battery\public\images\tabs\account.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Иван Забурдаев\Desktop\bolvanka\eco-battery\public\images\tabs\account_active.svg", "XML", 0, 0, 0, 0, 14, 0, 0, 0, 0, 1, 15
"c:\Users\Иван Забурдаев\Desktop\bolvanka\eco-battery\public\images\tabs\home.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\Иван Забурдаев\Desktop\bolvanka\eco-battery\public\images\tabs\home_active.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Иван Забурдаев\Desktop\bolvanka\eco-battery\public\images\tabs\marketplace.svg", "XML", 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"c:\Users\Иван Забурдаев\Desktop\bolvanka\eco-battery\public\images\tabs\marketplace_active.svg", "XML", 0, 0, 0, 0, 14, 0, 0, 0, 0, 1, 15
"c:\Users\Иван Забурдаев\Desktop\bolvanka\eco-battery\public\images\tabs\shop.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\Иван Забурдаев\Desktop\bolvanka\eco-battery\public\images\tabs\shop_active.svg", "XML", 0, 0, 0, 0, 24, 0, 0, 0, 0, 1, 25
"c:\Users\Иван Забурдаев\Desktop\bolvanka\eco-battery\public\images\tabs\work.svg", "XML", 0, 0, 0, 0, 14, 0, 0, 0, 0, 1, 15
"c:\Users\Иван Забурдаев\Desktop\bolvanka\eco-battery\public\images\tabs\work_active.svg", "XML", 0, 0, 0, 0, 34, 0, 0, 0, 0, 1, 35
